CRN,Subj,Crse,Sec,Campus,Cred,LectureDays,LectureTime,LabDays,LabTime
10814,ANAT,201,1,M,3,MW,08:00 am-08:50 am,M,10:00 am-11:50 am
10822,ANAT,201,2,M,3,MW,08:00 am-08:50 am,T,12:00 pm-01:50 pm
10827,ANAT,201,3,M,3,MW,08:00 am-08:50 am,T,04:00 pm-05:50 pm
10831,ANAT,201,4,M,3,MW,08:00 am-08:50 am,R,02:00 pm-03:50 pm
24688,ANAT,201,5,M,3,MW,09:00 am-09:50 am,R,06:00 pm-07:50 pm
24689,ANAT,201,6,M,3,MW,09:00 am-09:50 am,M,05:00 pm-06:50 pm
24690,ANAT,201,7,M,3,MW,09:00 am-09:50 am,W,07:00 pm-08:50 pm
24691,ANAT,201,8,M,3,MW,09:00 am-09:50 am,T,10:00 am-11:50 am
24692,ANAT,201,9,M,3,MW,10:00 am-10:50 am,R,10:00 am-11:50 am
24693,ANAT,201,10,M,3,MW,10:00 am-10:50 am,R,04:00 pm-05:50 pm
24694,ANAT,201,11,M,3,MW,10:00 am-10:50 am,T,02:00 pm-03:50 pm
24695,ANAT,201,12,M,3,MW,10:00 am-10:50 am,T,08:00 am-09:50 am
24696,ANAT,201,13,M,3,MW,02:00 pm-02:50 pm,W,10:00 am-11:50 am
24697,ANAT,201,14,M,3,MW,02:00 pm-02:50 pm,R,12:00 pm-01:50 pm
24698,ANAT,201,15,M,3,MW,02:00 pm-02:50 pm,W,05:00 pm-06:50 pm
24699,ANAT,201,16,M,3,MW,02:00 pm-02:50 pm,R,08:00 am-09:50 am
