CRN,Subj,Crse,Sec,Campus,Cred,LectureDays,LectureTime,LabDays,LabTime
11786,CHEM,111,11,M,4,MWF,10:00 am-10:50 am,T,11:00 am-1:50 pm
23887,CHEM,111,12,M,4,MWF,10:00 am-10:50 am,T,11:00 am-1:50 pm
23888,CHEM,111,13,M,4,MWF,10:00 am-10:50 am,T,11:00 am-1:50 pm
23889,CHEM,111,14,M,4,MWF,10:00 am-10:50 am,T,11:00 am-1:50 pm
11802,CHEM,111,21,M,4,TR,09:30 am-10:45 am,W,08:00 am-10:50 am
23895,CHEM,111,22,M,4,TR,09:30 am-10:45 am,W,08:00 am-10:50 am
23898,CHEM,111,23,M,4,TR,09:30 am-10:45 am,W,08:00 am-10:50 am
23901,CHEM,111,24,M,4,TR,09:30 am-10:45 am,W,08:00 am-10:50 am
11806,CHEM,111,31,M,4,MWF,12:00 pm-12:50 pm,R,11:00 am-01:50 pm
23915,CHEM,111,32,M,4,MWF,12:00 pm-12:50 pm,R,11:00 am-01:50 pm
23916,CHEM,111,33,M,4,MWF,12:00 pm-12:50 pm,R,11:00 am-01:50 pm
23933,CHEM,111,34,M,4,MWF,12:00 pm-12:50 pm,R,11:00 am-01:50 pm
11810,CHEM,111,41,M,4,TR,02:00 pm-03:15 pm,W,02:00 pm-04:50 pm
23935,CHEM,111,42,M,4,TR,02:00 pm-03:15 pm,W,02:00 pm-04:50 pm
23940,CHEM,111,43,M,4,TR,02:00 pm-03:15 pm,W,02:00 pm-04:50 pm
23943,CHEM,111,44,M,4,TR,02:00 pm-03:15 pm,W,02:00 pm-04:50 pm
11814,CHEM,111,51,M,4,MWF,09:00 am-09:50 am,W,11:00 am-1:50 pm
23953,CHEM,111,52,M,4,MWF,09:00 am-09:50 am,W,11:00 am-1:50 pm
23954,CHEM,111,53,M,4,MWF,09:00 am-09:50 am,W,11:00 am-1:50 pm
23955,CHEM,111,54,M,4,MWF,09:00 am-09:50 am,W,11:00 am-1:50 pm
19188,CHEM,111,61,M,4,MWF,12:00 pm-12:50 pm,T,02:00 pm-04:50 pm
